temp,hum_air,hum_soil,hour,target_action
21.9,31.19,36.48,23,0
36.5,26.01,50.56,11,2
41.83,76.41,40.07,11,2
37.22,43.32,12.75,14,2
22.38,86.44,18.58,18,0
33.34,62.51,20.5,12,2
28.02,58.5,22.7,16,1
35.6,79.1,40.23,13,2
16.59,76.88,36.73,22,0
31.14,74.3,19.58,10,1
35.21,73.29,11.85,12,2
34.84,61.08,17.77,12,2
40.91,89.85,64.11,13,2
13.75,87.34,34.71,2,0
22.37,48.06,57.44,7,0
26.3,81.33,56.38,19,0
21.29,87.38,37.16,23,0
21.29,68.28,48.28,22,0
17.28,63.89,18.99,3,0
36.39,72.03,47.24,12,2
39.24,36.41,23.53,12,2
14.47,31.11,55.43,2,0
16.65,82.41,12.77,23,0
18.85,65.13,52.07,21,0
27.27,33.58,13.7,17,1
35.74,54.14,58.23,13,2
14.14,45.88,25.34,22,0
31.1,86.28,45.3,13,0
16.48,60.51,35.79,4,0
41.14,65.43,28.88,14,2
38.96,41.47,44.79,11,2
40.49,80.93,62.01,14,2
15.18,90.11,10.35,23,0
26.64,80.47,60.37,18,0
16.96,59.5,42.72,1,0
30.01,83.46,54.02,13,0
18.98,38.16,29.88,21,0
35.12,32.94,34.9,14,2
31.32,55.68,57.52,9,0
29.15,37.71,31.65,13,1
36.76,43.14,38.48,12,2
27.01,65.96,9.15,8,1
20.1,53.27,17.04,21,0
30.62,85.61,44.58,11,0
40.71,40.79,48.87,12,2
30.03,94.78,41.21,9,0
30.89,50.16,16.17,15,1
40.04,61.08,33.39,12,2
27.46,34.26,28.24,16,1
41.89,65.55,36.25,12,2
16.79,92.29,57.61,23,0
28.11,77.46,52.22,16,0
18.39,42.08,12.79,4,0
25.6,55.98,58.75,6,0
17.12,54.78,34.89,22,0
18.68,31.86,50.4,20,0
18.32,87.01,15.98,5,0
21.6,51.7,46.23,2,0
16.04,59.6,21.47,21,0
36.28,45.39,32.99,11,2
18.62,35.67,8.96,1,0
24.5,88.15,16.64,18,0
12.48,27.62,13.25,20,0
15.15,52.99,21.67,1,0
38.89,76.15,13.7,11,2
37.11,46.62,47.44,13,2
37.23,56.22,9.66,14,2
24.34,64.51,43.21,16,0
16.25,94.66,16.02,2,0
15.24,78.08,61.87,23,0
30.17,92.7,61.19,12,0
36.85,73.52,20.85,11,2
39.0,43.83,43.02,11,2
20.66,45.12,9.6,20,0
21.63,82.57,61.11,23,0
15.03,54.94,37.81,20,0
35.23,50.92,10.46,14,2
20.27,91.16,27.52,22,0
26.43,25.93,12.38,9,1
39.87,61.75,30.4,12,2
34.57,79.26,46.19,11,2
13.58,76.53,34.78,1,0
12.24,50.73,29.87,20,0
35.62,62.5,14.79,11,2
28.58,25.39,21.96,10,1
33.61,62.44,13.71,11,2
16.7,66.33,54.03,1,0
38.16,86.24,15.71,11,2
35.2,39.75,41.94,13,2
38.73,82.76,27.54,12,2
22.23,75.26,20.88,17,1
20.27,71.62,44.45,3,0
16.55,52.61,34.05,22,0
39.9,50.72,30.81,12,2
